Date,Transaction_Type,Transaction_Amount,Region,Payment_Method,Fraud_Flag,Likelihood,Impact,Risk_Score,Risk_Level
18-08-2024,Refund,952.11,Garcia-Gordon,Cash,0,2,2,4,Low
18-08-2024+B3,Debit,3293.29,"Heath, Pena and Buchanan",Cash,1,5,3,15,High
30-04-2024,Debit,2849.97,Pham PLC,Cash,0,2,2,4,Low
23-03-2024,Refund,9813.53,"Levine, Long and Stewart",Cash,0,2,5,10,Medium
03-07-2024,Credit,1228.69,Lee LLC,Bank Transfer,0,2,2,4,Low
22-02-2024,Debit,3741.85,Wilkerson-Atkins,Bank Transfer,0,2,3,6,Low
20-05-2024,Debit,9292.19,"Barker, Davis and Fisher",Credit Card,0,2,5,10,Medium
21-12-2024,Debit,1069.64,Duke Group,Credit Card,1,5,2,10,Medium
07-04-2024,Refund,3242.15,"Blanchard, Graves and Bell",Cash,0,2,3,6,Low
13-03-2024,Debit,298.46,Armstrong-Johnson,Bank Transfer,0,2,2,4,Low
10-10-2024,Refund,4607.73,"Stanley, Gates and Torres",Cash,0,2,3,6,Low
20-06-2024,Refund,7079.99,Preston-Trevino,Cash,1,5,3,15,High
05-01-2025,Refund,4803.75,"Nichols, Owens and Gomez",Bank Transfer,0,2,3,6,Low
25-01-2024,Debit,6287.28,Mendoza Ltd,Bank Transfer,0,2,3,6,Low
14-01-2024,Refund,2700.49,Brown Ltd,Credit Card,0,2,2,4,Low
21-10-2024,Credit,6583.48,Berger-Williams,Credit Card,0,2,3,6,Low
16-01-2024,Debit,3300.97,Cochran-Horton,Bank Transfer,0,2,3,6,Low
18-11-2024,Debit,448.03,"Jimenez, Stevenson and Williams",Credit Card,0,2,2,4,Low
01-02-2024,Debit,6227.42,Browning LLC,Credit Card,0,2,3,6,Low
12-05-2024,Debit,4536.49,"Wells, Vazquez and Watkins",Bank Transfer,0,2,3,6,Low
22-08-2024,Debit,9474.71,"Larson, Webb and Cruz",Cash,0,2,5,10,Medium
31-07-2024,Refund,9998.21,Moore-Schmidt,Cash,0,2,5,10,Medium
15-10-2024,Refund,9069.71,Young PLC,Cash,0,2,5,10,Medium
26-09-2024,Debit,7972.36,Andrews PLC,Bank Transfer,0,2,3,6,Low
16-06-2024,Refund,1301.91,Harris-Kemp,Credit Card,0,2,2,4,Low
30-08-2024,Debit,8634.16,Phillips-Taylor,Cash,0,2,5,10,Medium
14-06-2024,Refund,8017.56,Meadows-Brown,Bank Transfer,0,2,5,10,Medium
24-01-2024,Refund,2836.71,Webb-Oneill,Cash,0,2,2,4,Low
28-01-2024,Refund,7983.49,Gomez-Kane,Cash,0,2,3,6,Low
26-04-2024,Refund,7440.56,"Casey, Jones and Richards",Credit Card,0,2,3,6,Low
29-05-2024,Credit,5476.09,Craig Inc,Credit Card,0,2,3,6,Low
13-05-2024,Debit,6026.89,Chandler and Sons,Credit Card,0,2,3,6,Low
27-11-2024,Credit,934.58,"Jones, Taylor and Robles",Bank Transfer,0,2,2,4,Low
20-07-2024,Refund,2559.09,Bailey-Chavez,Bank Transfer,1,5,2,10,Medium
27-11-2024,Credit,2408.4,Washington-Howell,Cash,1,5,2,10,Medium
30-05-2024,Debit,7711.07,Walton-Conley,Bank Transfer,0,2,3,6,Low
09-06-2024,Debit,3995.18,Webster-Hanson,Cash,0,2,3,6,Low
18-04-2024,Refund,214.92,Rogers-Jackson,Bank Transfer,0,2,2,4,Low
17-04-2024,Credit,2090.15,Cruz-Williams,Credit Card,0,2,2,4,Low
09-03-2024,Credit,3891.14,"Evans, Hansen and Mccall",Bank Transfer,0,2,3,6,Low
18-03-2024,Credit,4029.94,Brown LLC,Bank Transfer,0,2,3,6,Low
09-10-2024,Debit,6475.21,Vasquez-Hill,Cash,0,2,3,6,Low
16-08-2024,Debit,9544.78,"Baker, Buchanan and Michael",Cash,0,2,5,10,Medium
03-05-2024,Credit,1549.81,Walsh LLC,Credit Card,1,5,2,10,Medium
06-08-2024,Debit,2992.48,Anderson-Villarreal,Bank Transfer,0,2,2,4,Low
09-05-2024,Debit,8012.99,Hardy-Evans,Cash,0,2,5,10,Medium
11-11-2024,Credit,7361.53,Carson-Shelton,Cash,0,2,3,6,Low
15-04-2024,Debit,9217.78,Pitts PLC,Credit Card,0,2,5,10,Medium
25-06-2024,Credit,9038.31,Valentine LLC,Credit Card,0,2,5,10,Medium
27-07-2024,Credit,6039.1,Morgan LLC,Credit Card,0,2,3,6,Low
09-10-2024,Refund,3596.85,"Ewing, Miles and Henderson",Bank Transfer,1,5,3,15,High
01-07-2024,Credit,970.15,Moore-Hansen,Bank Transfer,0,2,2,4,Low
21-04-2024,Debit,3680.89,"Gibson, Johnson and Carlson",Cash,1,5,3,15,High
23-02-2024,Refund,2006.71,"Martin, Brooks and Smith",Cash,1,5,2,10,Medium
14-03-2024,Credit,4459.97,Frazier-Rivas,Credit Card,0,2,3,6,Low
08-01-2024,Refund,3887.01,Barrett-Jones,Credit Card,1,5,3,15,High
04-09-2024,Debit,2692.11,Bailey-Kelly,Bank Transfer,0,2,2,4,Low
11-04-2024,Credit,6007.4,Sanchez Group,Bank Transfer,0,2,3,6,Low
18-12-2024,Debit,911.32,Gomez-Williams,Credit Card,0,2,2,4,Low
15-03-2024,Refund,4231.14,Hoffman LLC,Credit Card,0,2,3,6,Low
28-08-2024,Credit,3688.68,Hopkins LLC,Bank Transfer,0,2,3,6,Low
09-02-2024,Refund,1871.69,Campbell and Sons,Bank Transfer,0,2,2,4,Low
20-05-2024,Refund,6310.56,Mata-Cunningham,Cash,0,2,3,6,Low
05-01-2025,Credit,938.55,Ewing-Wiley,Bank Transfer,0,2,2,4,Low
02-09-2024,Refund,5138.28,Jimenez-Griffin,Bank Transfer,0,2,3,6,Low
31-07-2024,Debit,9732.99,Hardy Ltd,Credit Card,0,2,5,10,Medium
27-10-2024,Refund,6767.64,Christian-Oliver,Cash,0,2,3,6,Low
29-03-2024,Debit,6479.63,Hendricks-Ortiz,Credit Card,0,2,3,6,Low
01-06-2024,Debit,7139.22,Petty-Matthews,Cash,0,2,3,6,Low
08-05-2024,Refund,9307.37,Kelly Ltd,Cash,1,5,5,25,High
11-06-2024,Debit,5277.51,"Hoffman, Vazquez and Hatfield",Cash,0,2,3,6,Low
10-07-2024,Credit,6475.78,"Johnston, Herrera and Reynolds",Credit Card,0,2,3,6,Low
23-06-2024,Debit,848.86,Morris-Odonnell,Cash,0,2,2,4,Low
15-12-2024,Debit,4687.51,Jenkins Group,Bank Transfer,0,2,3,6,Low
28-12-2024,Debit,801.04,"Perry, Brown and Mata",Cash,0,2,2,4,Low
11-03-2024,Credit,8017.43,Saunders-Wagner,Cash,0,2,5,10,Medium
31-12-2024,Credit,3010.93,"Dillon, Gray and Allen",Credit Card,0,2,3,6,Low
03-05-2024,Credit,9842.02,Martin-Fischer,Cash,0,2,5,10,Medium
01-07-2024,Refund,6846.3,Brandt Inc,Cash,0,2,3,6,Low
24-08-2024,Credit,3011.08,Montoya LLC,Credit Card,0,2,3,6,Low
11-09-2024,Debit,2494.05,Pruitt-Jones,Credit Card,1,5,2,10,Medium
09-06-2024,Credit,4283.04,Barnes-Allen,Cash,0,2,3,6,Low
14-02-2024,Credit,5689.67,Green-Huerta,Cash,0,2,3,6,Low
11-03-2024,Debit,5514.43,Pollard Group,Credit Card,0,2,3,6,Low
26-11-2024,Refund,9173.85,"Morris, Rodriguez and Campbell",Bank Transfer,0,2,5,10,Medium
17-06-2024,Credit,5139.01,"Washington, Anderson and Melendez",Cash,0,2,3,6,Low
12-07-2024,Refund,5111.41,Ortiz-Mitchell,Credit Card,0,2,3,6,Low
15-06-2024,Refund,4136.06,Taylor Ltd,Cash,0,2,3,6,Low
04-12-2024,Refund,4651.92,Williams-Berger,Bank Transfer,1,5,3,15,High
14-06-2024,Debit,7205.9,Salinas-Beck,Cash,0,2,3,6,Low
12-05-2024,Refund,8130.12,Stephens-Oliver,Cash,0,2,5,10,Medium
20-11-2024,Refund,3561.02,King Inc,Cash,0,2,3,6,Low
15-01-2024,Debit,5859.82,"Campbell, Evans and Patton",Cash,0,2,3,6,Low
26-10-2024,Refund,7688.78,Cook Group,Bank Transfer,0,2,3,6,Low
04-11-2024,Refund,172.52,"Campbell, Oneill and Williams",Cash,0,2,2,4,Low
26-12-2024,Debit,7407.76,Stewart-Wade,Bank Transfer,0,2,3,6,Low
06-04-2024,Debit,4634.16,Jordan-Gutierrez,Credit Card,0,2,3,6,Low
27-09-2024,Credit,7863.91,Hall-Carr,Credit Card,0,2,3,6,Low
12-03-2024,Credit,8430.67,Hernandez and Sons,Cash,0,2,5,10,Medium
18-06-2024,Credit,462.13,"Sandoval, Jordan and Harris",Bank Transfer,0,2,2,4,Low
26-07-2024,Refund,4168.35,Fowler-Dorsey,Credit Card,0,2,3,6,Low
13-10-2024,Refund,7046.74,Gordon Group,Cash,0,2,3,6,Low
11-08-2024,Refund,3146.32,"Osborne, Pearson and Thomas",Bank Transfer,0,2,3,6,Low
09-10-2024,Debit,7243.71,"Fox, Jones and Houston",Credit Card,0,2,3,6,Low
15-02-2024,Refund,7575.97,Stone-Clark,Credit Card,1,5,3,15,High
31-07-2024,Credit,4504.98,Torres-Davidson,Cash,0,2,3,6,Low
08-10-2024,Debit,8080.26,Graham-Lewis,Bank Transfer,0,2,5,10,Medium
04-05-2024,Debit,3419.93,Morris Inc,Bank Transfer,0,2,3,6,Low
20-08-2024,Debit,9181.94,"Wilson, Myers and Sanders",Bank Transfer,0,2,5,10,Medium
12-03-2024,Credit,8101.96,"Kline, Summers and Clark",Bank Transfer,0,2,5,10,Medium
18-11-2024,Credit,2118.57,"Mcdonald, Lee and Hogan",Cash,0,2,2,4,Low
25-05-2024,Credit,791.42,Murray-Page,Credit Card,0,2,2,4,Low
29-03-2024,Debit,9822.04,Garcia-Nelson,Bank Transfer,1,5,5,25,High
29-02-2024,Debit,2600.58,Hanson Group,Credit Card,0,2,2,4,Low
07-09-2024,Refund,6737.35,Smith-Walsh,Credit Card,0,2,3,6,Low
19-12-2024,Refund,4343.65,Barnes-George,Bank Transfer,1,5,3,15,High
10-05-2024,Credit,188.97,Brown LLC,Credit Card,0,2,2,4,Low
21-08-2024,Debit,3955.39,Duran Inc,Cash,0,2,3,6,Low
06-09-2024,Refund,142.91,"Henderson, Peterson and Diaz",Bank Transfer,1,5,2,10,Medium
19-11-2024,Credit,6561.45,"Swanson, Anderson and Gutierrez",Bank Transfer,0,2,3,6,Low
02-12-2024,Credit,4607.03,Bennett-Gonzalez,Credit Card,0,2,3,6,Low
11-05-2024,Refund,4056.87,Chapman-Thompson,Cash,1,5,3,15,High
11-04-2024,Credit,6580.59,Sanchez-Johnson,Bank Transfer,0,2,3,6,Low
27-12-2024,Debit,7445.03,"Krause, Cervantes and Carter",Cash,0,2,3,6,Low
24-04-2024,Credit,7261.85,"Stewart, Wilson and Davila",Credit Card,0,2,3,6,Low
20-04-2024,Debit,3034.97,Williams Group,Bank Transfer,0,2,3,6,Low
18-03-2024,Debit,8133.19,Alvarez Group,Cash,0,2,5,10,Medium
27-08-2024,Refund,6171.28,Williams-Clark,Bank Transfer,1,5,3,15,High
08-10-2024,Refund,6909.72,Adams-Mitchell,Credit Card,0,2,3,6,Low
05-11-2024,Refund,9631.78,Wilson-Moore,Bank Transfer,0,2,5,10,Medium
06-11-2024,Credit,6754.27,"Hernandez, Carter and Edwards",Cash,0,2,3,6,Low
26-02-2024,Refund,8048.36,West-Hamilton,Bank Transfer,0,2,5,10,Medium
28-07-2024,Refund,885.47,Frye-Ross,Cash,0,2,2,4,Low
29-01-2024,Credit,1359.79,Mcbride-Olson,Bank Transfer,0,2,2,4,Low
13-01-2024,Refund,1916.11,Novak Inc,Cash,1,5,2,10,Medium
16-12-2024,Credit,8161.52,Collins Group,Credit Card,0,2,5,10,Medium
17-04-2024,Credit,6963.36,Cox Inc,Bank Transfer,0,2,3,6,Low
08-01-2024,Debit,1890.33,Randolph-Williams,Cash,0,2,2,4,Low
12-11-2024,Debit,277.88,Gross-Dickson,Cash,0,2,2,4,Low
17-09-2024,Refund,4816.36,"Rodriguez, Reed and Knapp",Cash,1,5,3,15,High
19-11-2024,Credit,1460.09,"Wheeler, Lawson and Chen",Cash,1,5,2,10,Medium
28-07-2024,Debit,2425.38,Parker Ltd,Bank Transfer,0,2,2,4,Low
04-12-2024,Debit,8422.48,Browning-Lindsey,Bank Transfer,0,2,5,10,Medium
22-04-2024,Debit,8583.31,Howard-Oneal,Credit Card,0,2,5,10,Medium
18-03-2024,Debit,5390.44,Smith-Bauer,Cash,0,2,3,6,Low
22-06-2024,Refund,870.07,Sanchez-Knight,Bank Transfer,0,2,2,4,Low
20-11-2024,Debit,7699.51,Sawyer PLC,Bank Transfer,0,2,3,6,Low
06-06-2024,Refund,1490.17,Gutierrez-Martin,Cash,0,2,2,4,Low
03-11-2024,Credit,4224.57,Pena-Long,Bank Transfer,0,2,3,6,Low
22-04-2024,Refund,1173.42,Garrett-Watson,Credit Card,0,2,2,4,Low
28-11-2024,Debit,9025.13,Ellison-Waters,Credit Card,1,5,5,25,High
25-08-2024,Credit,7390.42,"Cole, Santana and Franco",Credit Card,0,2,3,6,Low
24-07-2024,Credit,4458.21,"Brown, Phillips and Davidson",Bank Transfer,0,2,3,6,Low
01-10-2024,Refund,4855.62,Moore-Hamilton,Bank Transfer,0,2,3,6,Low
21-06-2024,Credit,206.08,Mendez-Wright,Cash,1,5,2,10,Medium
14-03-2024,Refund,4500.67,"Parker, Rocha and Oneill",Bank Transfer,0,2,3,6,Low
23-04-2024,Credit,2433.87,"Hart, Richardson and Simmons",Cash,0,2,2,4,Low
27-01-2024,Refund,2955.37,Johnson-Tran,Credit Card,0,2,2,4,Low
04-01-2025,Debit,8296.21,"Terry, Pena and Taylor",Credit Card,0,2,5,10,Medium
10-02-2024,Refund,3923.42,Brown-Henry,Credit Card,0,2,3,6,Low
29-12-2024,Refund,3345.16,White LLC,Bank Transfer,0,2,3,6,Low
06-01-2025,Debit,1035.61,Bradley-Dominguez,Credit Card,0,2,2,4,Low
18-01-2024,Refund,8477.82,"Baxter, Rogers and Flores",Cash,0,2,5,10,Medium
15-06-2024,Refund,4323.56,Smith and Sons,Credit Card,0,2,3,6,Low
15-09-2024,Credit,4162.7,"Hall, Morgan and Hernandez",Bank Transfer,0,2,3,6,Low
24-08-2024,Refund,4962.08,"Smith, Shaffer and Myers",Cash,0,2,3,6,Low
24-06-2024,Credit,5790.83,Smith Group,Cash,0,2,3,6,Low
21-05-2024,Debit,7313.47,"Gray, Washington and Cohen",Bank Transfer,0,2,3,6,Low
08-02-2024,Credit,9990.27,Drake PLC,Bank Transfer,0,2,5,10,Medium
29-09-2024,Credit,379.8,"Franklin, Clark and Alvarez",Cash,0,2,2,4,Low
09-06-2024,Debit,4002.81,Hoffman-Young,Credit Card,0,2,3,6,Low
13-05-2024,Credit,5138.42,"Ryan, King and Wright",Bank Transfer,0,2,3,6,Low
16-06-2024,Debit,7248.9,Mann LLC,Credit Card,0,2,3,6,Low
29-06-2024,Refund,9353.46,Schmitt-Bryan,Bank Transfer,0,2,5,10,Medium
21-07-2024,Refund,9051.68,Turner and Sons,Cash,0,2,5,10,Medium
26-02-2024,Credit,8677.67,"Martin, Little and Mahoney",Cash,0,2,5,10,Medium
30-12-2024,Refund,2326.74,"Murphy, Mcdonald and Olson",Credit Card,0,2,2,4,Low
22-06-2024,Debit,616.44,"Webb, Saunders and Ruiz",Credit Card,0,2,2,4,Low
10-08-2024,Refund,200.01,Sims LLC,Credit Card,1,5,2,10,Medium
14-12-2024,Debit,5768.27,"Villegas, Barrett and Ward",Credit Card,0,2,3,6,Low
14-02-2024,Refund,5537.02,Hill-Hoffman,Cash,0,2,3,6,Low
30-08-2024,Credit,2685.81,Hanson PLC,Bank Transfer,0,2,2,4,Low
05-08-2024,Refund,6486.52,Simmons-Phelps,Bank Transfer,1,5,3,15,High
13-06-2024,Refund,8892.51,"Smith, Fernandez and Mcdonald",Cash,1,5,5,25,High
30-11-2024,Refund,1178.24,Anderson-Hodges,Cash,0,2,2,4,Low
08-03-2024,Debit,6230.74,"Ramos, Pham and Martinez",Cash,0,2,3,6,Low
06-12-2024,Debit,6465.34,Le-Mclaughlin,Credit Card,0,2,3,6,Low
29-11-2024,Credit,4488.77,Goodman-Santos,Cash,0,2,3,6,Low
15-04-2024,Debit,4367.94,Herrera-Gutierrez,Bank Transfer,0,2,3,6,Low
10-03-2024,Refund,1621.72,"Gonzalez, Bailey and Foley",Credit Card,0,2,2,4,Low
15-12-2024,Refund,7264.83,"Leblanc, Villanueva and Mora",Credit Card,0,2,3,6,Low
18-07-2024,Debit,4697.71,Glover LLC,Credit Card,1,5,3,15,High
03-03-2024,Refund,4386.73,"Smith, Moss and Jones",Bank Transfer,1,5,3,15,High
19-10-2024,Credit,5081.28,Levine LLC,Cash,0,2,3,6,Low
17-03-2024,Credit,5880.71,Donovan LLC,Cash,0,2,3,6,Low
20-09-2024,Debit,6852.89,Hernandez-King,Credit Card,0,2,3,6,Low
09-08-2024,Debit,9218.14,Murphy LLC,Bank Transfer,0,2,5,10,Medium
29-05-2024,Credit,8536,"Duncan, Caldwell and Johnson",Credit Card,1,5,5,25,High
18-01-2024,Credit,7154.84,Rivers Ltd,Credit Card,1,5,3,15,High
25-06-2024,Debit,4689.99,Frank-Lee,Credit Card,0,2,3,6,Low
19-01-2024,Debit,8832.9,"Long, Flores and Johnson",Bank Transfer,0,2,5,10,Medium
